,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,13 days,1,BRFOR,NLRTM,"['28 OCT', ' 19:27', 'UTC-03:00']","['10 NOV', ' 04:00', 'UTC+01:00']",700,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, MSC']"
1,28 days,1,BRFOR,BEANR,"['20 OCT', ' 00:00', 'UTC-03:00']","['16 NOV', ' 14:00', 'UTC+01:00']",790,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'ANR']]","['CMA CGM', 'CMA CGM, Hapag-Lloyd']"
2,28 days,1,BRFOR,BEANR,"['20 OCT', ' 00:00', 'UTC-03:00']","['16 NOV', ' 22:00', 'UTC+01:00']",860,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'BRV', 'ANR']]","['CMA CGM', 'CMA CGM, Hapag-Lloyd, ONE, OOCL']"
3,15 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['12 NOV', ' 22:00', 'UTC+01:00']",755,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
4,21 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['18 NOV', ' 16:00', 'UTC+01:00']",760,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
5,22 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['19 NOV', ' 12:00', 'UTC+01:00']",780,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
6,13 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['10 NOV', ' 07:03', 'UTC+01:00']",795,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
7,16 days,2,BRFOR,BEANR,"['16 OCT', ' 21:27', 'UTC-03:00']","['1 NOV', ' 16:15', 'UTC+01:00']",800,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR']]","['MSC', 'MSC']"
8,14 days,2,BRFOR,BEANR,"['21 OCT', ' 01:27', 'UTC-03:00']","['3 NOV', ' 22:00', 'UTC+01:00']",810,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
9,21 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['18 NOV', ' 00:01', 'UTC+01:00']",915,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'CMA CGM, Hapag-Lloyd, ONE']"
10,25 days,2,BRFOR,BEANR,"['4 NOV', ' 19:27', 'UTC-03:00']","['29 NOV', ' 12:30', 'UTC+01:00']",920,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV'], ['BRV', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
11,21 days,2,BRFOR,BEANR,"['16 OCT', ' 21:27', 'UTC-03:00']","['6 NOV', ' 22:45', 'UTC+01:00']",965,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
12,27 days,2,BRFOR,BEANR,"['18 OCT', ' 11:53', 'UTC-03:00']","['13 NOV', ' 18:42', 'UTC+01:00']",2020,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ANR']]","['MSC', 'MSC']"
13,22 days,3,BRFOR,BEANR,"['21 OCT', ' 01:27', 'UTC-03:00']","['11 NOV', ' 18:00', 'UTC+01:00']",870,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
