,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,26 days,1,BRRIG,NLRTM,"['21 OCT', ' 06:00', 'UTC-03:00']","['16 NOV', ' 10:00', 'UTC+01:00']",1060,"[['RIG', 'ITJ'], ['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, Maersk, ONE', 'Hapag-Lloyd, MSC']"
1,31 days,1,BRRIG,NLRTM,"['18 OCT', ' 00:00', 'UTC-03:00']","['18 NOV', ' 00:00', 'UTC+01:00']",1065,"[['RIG', 'IOA', 'ITJ', 'SSZ', 'SPB', 'PTM'], ['PTM', 'TNG', 'RTM']]","['CMA CGM, Hamburg Sud, Maersk', 'CMA CGM, OOCL']"
2,23 days,1,BRRIG,NLRTM,"['19 OCT', ' 18:02', 'UTC-03:00']","['11 NOV', ' 00:00', 'UTC+01:00']",1695,"[['RIG', 'PNG'], ['PNG', 'SSZ', 'PTM', 'TNG', 'LGP', 'RTM']]","['CMA CGM, Hamburg Sud, Maersk']"
3,36 days,1,BRRIG,NLRTM,"['18 OCT', ' 07:00', 'UTC-03:00']","['22 NOV', ' 16:40', 'UTC+01:00']",1725,"[['RIG', 'PNG', 'ITJ', 'SSZ', 'RIO', 'SSA', 'SUA', 'CTB'], ['CTB', 'RTM']]","['MSC', 'MSC']"
4,32 days,1,BRRIG,NLRTM,"['21 OCT', ' 06:00', 'UTC-03:00']","['22 NOV', ' 07:00', 'UTC+01:00']",1785,"[['RIG', 'ITJ', 'SSZ', 'RIO', 'CTG'], ['CTG', 'CAU', 'RTM']]","['Hapag-Lloyd, Maersk, MSC, ONE', 'COSCO, Hapag-Lloyd, OOCL']"
5,34 days,2,BRRIG,NLRTM,"['15 OCT', ' 17:00', 'UTC-03:00']","['18 NOV', ' 00:41', 'UTC+01:00']",1205,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM'], ['PTM', 'ANR'], ['ANR', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
6,37 days,2,BRRIG,NLRTM,"['17 OCT', ' 12:33', 'UTC-03:00']","['23 NOV', ' 11:51', 'UTC+01:00']",1505,"[['RIG', 'MVD'], ['MVD', 'ANR'], ['ANR', 'RTM']]",['MSC']
7,34 days,2,BRRIG,NLRTM,"['18 OCT', ' 07:00', 'UTC-03:00']","['21 NOV', ' 09:26', 'UTC+01:00']",1975,"[['RIG', 'PNG', 'ITJ', 'SSZ', 'RIO', 'SSA', 'SUA', 'CTB', 'CAU'], ['CAU', 'ZEE'], ['ZEE', 'RTM']]","['MSC', 'MSC']"
8,35 days,1,BRRIG,BEANR,"['15 OCT', ' 17:00', 'UTC-03:00']","['19 NOV', ' 12:00', 'UTC+01:00']",1095,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
9,25 days,1,BRRIG,BEANR,"['15 OCT', ' 17:00', 'UTC-03:00']","['9 NOV', ' 12:03', 'UTC+01:00']",1110,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
10,34 days,1,BRRIG,BEANR,"['15 OCT', ' 17:00', 'UTC-03:00']","['17 NOV', ' 22:00', 'UTC+01:00']",1120,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM'], ['PTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
11,34 days,1,BRRIG,BEANR,"['22 OCT', ' 20:00', 'UTC-03:00']","['25 NOV', ' 06:00', 'UTC+01:00']",1230,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM', 'LGP', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
12,37 days,1,BRRIG,BEANR,"['17 OCT', ' 12:33', 'UTC-03:00']","['23 NOV', ' 09:00', 'UTC+01:00']",1415,"[['RIG', 'MVD'], ['MVD', 'ANR']]",['MSC']
13,29 days,1,BRRIG,BEANR,"['19 OCT', ' 18:02', 'UTC-03:00']","['17 NOV', ' 00:00', 'UTC+01:00']",1795,"[['RIG', 'PNG'], ['PNG', 'SSZ', 'PTM', 'TNG', 'LGP', 'RTM', 'HAM', 'ANR']]","['CMA CGM, Hamburg Sud, Maersk']"
14,32 days,2,BRRIG,BEANR,"['21 OCT', ' 06:00', 'UTC-03:00']","['22 NOV', ' 00:00', 'UTC+01:00']",1115,"[['RIG', 'ITJ'], ['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, Maersk, ONE', 'Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
15,31 days,2,BRRIG,BEANR,"['18 OCT', ' 00:00', 'UTC-03:00']","['18 NOV', ' 03:03', 'UTC+01:00']",1160,"[['RIG', 'IOA', 'ITJ', 'SSZ', 'SPB', 'PTM'], ['PTM', 'TNG', 'RTM'], ['RTM', 'ANR']]","['CMA CGM, Hamburg Sud, Maersk', 'CMA CGM, OOCL']"
16,31 days,2,BRRIG,BEANR,"['15 OCT', ' 17:00', 'UTC-03:00']","['15 NOV', ' 06:00', 'UTC+01:00']",1395,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
17,28 days,2,BRRIG,BEANR,"['17 OCT', ' 12:28', 'UTC-03:00']","['14 NOV', ' 10:00', 'UTC+01:00']",1570,"[['RIG', 'MVD'], ['MVD', 'LPA'], ['LPA', 'ANR']]","['MSC', 'MSC']"
18,33 days,2,BRRIG,BEANR,"['17 OCT', ' 06:27', 'UTC-03:00']","['18 NOV', ' 16:00', 'UTC+01:00']",1685,"[['RIG', 'ITJ'], ['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
19,33 days,2,BRRIG,BEANR,"['15 OCT', ' 13:27', 'UTC-03:00']","['17 NOV', ' 00:00', 'UTC+01:00']",1690,"[['RIG', 'ITJ'], ['ITJ', 'PNG'], ['PNG', 'SSZ', 'PTM', 'TNG', 'LGP', 'RTM', 'HAM', 'ANR']]","['COSCO, Maersk', 'CMA CGM, Hamburg Sud, Maersk']"
20,34 days,2,BRRIG,BEANR,"['17 OCT', ' 12:28', 'UTC-03:00']","['20 NOV', ' 07:30', 'UTC+01:00']",1725,"[['RIG', 'MVD'], ['MVD', 'VLC'], ['VLC', 'ANR']]","['MSC', 'MSC']"
21,23 days,2,BRRIG,BEANR,"['19 OCT', ' 18:02', 'UTC-03:00']","['11 NOV', ' 03:04', 'UTC+01:00']",1795,"[['RIG', 'PNG'], ['PNG', 'SSZ', 'PTM', 'TNG', 'LGP', 'RTM'], ['RTM', 'ANR']]","['CMA CGM, Hamburg Sud, Maersk']"
22,29 days,2,BRRIG,NLVLI,"['15 OCT', ' 17:00', 'UTC-03:00']","['12 NOV', ' 23:36', 'UTC+01:00']",1130,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
23,31 days,2,BRRIG,NLVLI,"['18 OCT', ' 00:00', 'UTC-03:00']","['18 NOV', ' 02:06', 'UTC+01:00']",1135,"[['RIG', 'IOA', 'ITJ', 'SSZ', 'SPB', 'PTM'], ['PTM', 'TNG', 'RTM'], ['RTM', 'VLI']]","['CMA CGM, Hamburg Sud, Maersk', 'CMA CGM, OOCL']"
24,35 days,2,BRRIG,NLVLI,"['15 OCT', ' 17:00', 'UTC-03:00']","['19 NOV', ' 13:32', 'UTC+01:00']",1150,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
25,34 days,2,BRRIG,NLVLI,"['15 OCT', ' 17:00', 'UTC-03:00']","['17 NOV', ' 23:35', 'UTC+01:00']",1180,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM'], ['PTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
26,34 days,2,BRRIG,NLVLI,"['22 OCT', ' 20:00', 'UTC-03:00']","['25 NOV', ' 07:32', 'UTC+01:00']",1285,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM', 'LGP', 'HAM'], ['HAM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
27,37 days,2,BRRIG,NLVLI,"['17 OCT', ' 12:33', 'UTC-03:00']","['23 NOV', ' 10:36', 'UTC+01:00']",1475,"[['RIG', 'MVD'], ['MVD', 'ANR'], ['ANR', 'VLI']]",['MSC']
28,23 days,2,BRRIG,NLVLI,"['19 OCT', ' 18:02', 'UTC-03:00']","['11 NOV', ' 02:12', 'UTC+01:00']",1770,"[['RIG', 'PNG'], ['PNG', 'SSZ', 'PTM', 'TNG', 'LGP', 'RTM'], ['RTM', 'VLI']]","['CMA CGM, Hamburg Sud, Maersk']"
29,34 days,2,BRRIG,NLVLI,"['18 OCT', ' 07:00', 'UTC-03:00']","['21 NOV', ' 07:23', 'UTC+01:00']",1785,"[['RIG', 'PNG', 'ITJ', 'SSZ', 'RIO', 'SSA', 'SUA', 'CTB'], ['CTB', 'CAU', 'ZEE'], ['ZEE', 'VLI']]","['MSC', 'MSC']"
30,29 days,2,BRRIG,NLVLI,"['19 OCT', ' 18:02', 'UTC-03:00']","['17 NOV', ' 01:35', 'UTC+01:00']",1855,"[['RIG', 'PNG'], ['PNG', 'SSZ', 'PTM', 'TNG', 'LGP', 'RTM', 'HAM', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, Hamburg Sud, Maersk']"
31,32 days,2,BRRIG,NLVLI,"['21 OCT', ' 06:00', 'UTC-03:00']","['22 NOV', ' 09:11', 'UTC+01:00']",1860,"[['RIG', 'ITJ', 'SSZ', 'RIO', 'CTG'], ['CTG', 'CAU', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, Maersk, MSC, ONE', 'COSCO, Hapag-Lloyd, OOCL']"
32,32 days,3,BRRIG,NLVLI,"['21 OCT', ' 06:00', 'UTC-03:00']","['22 NOV', ' 01:36', 'UTC+01:00']",1175,"[['RIG', 'ITJ'], ['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, Maersk, ONE', 'Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
33,31 days,3,BRRIG,NLVLI,"['15 OCT', ' 17:00', 'UTC-03:00']","['15 NOV', ' 07:36', 'UTC+01:00']",1455,"[['RIG', 'ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
34,28 days,3,BRRIG,NLVLI,"['17 OCT', ' 12:28', 'UTC-03:00']","['14 NOV', ' 11:36', 'UTC+01:00']",1630,"[['RIG', 'MVD'], ['MVD', 'LPA'], ['LPA', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC']"
